Year,State,State Code,Deaths,Population,Crude Rate
1979,Alabama,1,1779,3873403,45.9
1979,Alaska,2,85,404735,21.0
1979,Arizona,4,1034,2643879,39.1
1979,Arkansas,5,1184,2270804,52.1
1979,California,6,9427,23304422,40.5
1979,Colorado,8,712,2854156,24.9
1979,Connecticut,9,1352,3101686,43.6
1979,Delaware,10,278,599476,46.4
1979,District of Columbia,11,332,658050,50.5
1979,Florida,12,6027,9480731,63.6
1979,Georgia,13,2081,5397054,38.6
1979,Hawaii,15,257,952438,27.0
1979,Idaho,16,248,934621,26.5
1979,Illinois,17,5214,11440371,45.6
1979,Indiana,18,2512,5479304,45.8
1979,Iowa,19,1257,2919960,43.0
1979,Kansas,20,1005,2351528,42.7
1979,Kentucky,21,1816,3646979,49.8
1979,Louisiana,22,1814,4148645,43.7
1979,Maine,23,568,1125556,50.5
1979,Maryland,24,2026,4227079,47.9
1979,Massachusetts,25,2646,5748843,46.0
1979,Michigan,26,3763,9257009,40.7
1979,Minnesota,27,1327,4043445,32.8
1979,Mississippi,28,1098,2511256,43.7
1979,Missouri,29,2602,4896275,53.1
1979,Montana,30,261,790598,33.0
1979,Nebraska,31,615,1566773,39.3
1979,Nevada,32,333,766883,43.4
1979,New Hampshire,33,380,912305,41.7
1979,New Jersey,34,3607,7376891,48.9
1979,New Mexico,35,357,1283865,27.8
1979,New York,36,8036,17642635,45.5
1979,North Carolina,37,2226,5805293,38.3
1979,North Dakota,38,199,653417,30.5
1979,Ohio,39,5002,10809033,46.3
1979,Oklahoma,40,1509,2974068,50.7
1979,Oregon,41,1234,2581971,47.8
1979,Pennsylvania,42,5815,11882234,48.9
1979,Rhode Island,44,490,957016,51.2
1979,South Carolina,45,1172,3090454,37.9
1979,South Dakota,46,233,690740,33.7
1979,Tennessee,47,2113,4537642,46.6
1979,Texas,48,5294,13916436,38.0
1979,Utah,49,241,1421446,17.0
1979,Vermont,50,213,506115,42.1
1979,Virginia,51,2283,5329589,42.8
1979,Washington,53,1683,4018920,41.9
1979,West Virginia,54,988,1940160,50.9
1979,Wisconsin,55,1600,4671398,34.3
1979,Wyoming,56,123,453287,27.1
1980,Alabama,1,1893,3898117,48.6
1980,Alaska,2,82,403594,20.3
1980,Arizona,4,1195,2725485,43.8
1980,Arkansas,5,1233,2288599,53.9
1980,California,6,10056,23729183,42.4
1980,Colorado,8,811,2896401,28.0
1980,Connecticut,9,1479,3109321,47.6
1980,Delaware,10,287,595519,48.2
1980,District of Columbia,11,390,640822,60.9
1980,Florida,12,6477,9764074,66.3
1980,Georgia,13,2247,5472448,41.1
1980,Hawaii,15,284,967282,29.4
1980,Idaho,16,281,945395,29.7
1980,Illinois,17,5319,11448136,46.5
1980,Indiana,18,2626,5494918,47.8
1980,Iowa,19,1226,2917312,42.0
1980,Kansas,20,994,2368222,42.0
1980,Kentucky,21,1920,3663841,52.4
1980,Louisiana,22,1858,4215763,44.1
1980,Maine,23,631,1125413,56.1
1980,Maryland,24,2080,4222450,49.3
1980,Massachusetts,25,2717,5742222,47.3
1980,Michigan,26,3983,9270570,43.0
1980,Minnesota,27,1404,4082304,34.4
1980,Mississippi,28,1156,2525447,45.8
1980,Missouri,29,2644,4924814,53.7
1980,Montana,30,310,788004,39.3
1980,Nebraska,31,612,1572604,38.9
1980,Nevada,32,372,802587,46.4
1980,New Hampshire,33,409,921857,44.4
1980,New Jersey,34,3719,7369031,50.5
1980,New Mexico,35,351,1306062,26.9
1980,New York,36,8558,17569902,48.7
1980,North Carolina,37,2375,5885456,40.4
1980,North Dakota,38,188,653755,28.8
1980,Ohio,39,5507,10809348,50.9
1980,Oklahoma,40,1532,3030739,50.5
1980,Oregon,41,1234,2636626,46.8
1980,Pennsylvania,42,5930,11873224,49.9
1980,Rhode Island,44,474,948005,50.0
1980,South Carolina,45,1273,3126100,40.7
1980,South Dakota,46,233,692365,33.7
1980,Tennessee,47,2264,4595143,49.3
1980,Texas,48,5598,14268965,39.2
1980,Utah,49,213,1464846,14.5
1980,Vermont,50,252,512144,49.2
1980,Virginia,51,2424,5353138,45.3
1980,Washington,53,1841,4138795,44.5
1980,West Virginia,54,1050,1949995,53.8
1980,Wisconsin,55,1712,4711208,36.3
1980,Wyoming,56,140,471153,29.7
1981,Alabama,1,1911,3920097,48.7
1981,Alaska,2,90,420161,21.4
1981,Arizona,4,1202,2816864,42.7
1981,Arkansas,5,1248,2293696,54.4
1981,California,6,10391,24344273,42.7
1981,Colorado,8,847,2983957,28.4
1981,Connecticut,9,1421,3131032,45.4
1981,Delaware,10,363,596658,60.8
1981,District of Columbia,11,366,638852,57.3
1981,Florida,12,6612,10208144,64.8
1981,Georgia,13,2388,5572350,42.9
1981,Hawaii,15,269,980258,27.4
1981,Idaho,16,307,962481,31.9
1981,Illinois,17,5240,11455471,45.7
1981,Indiana,18,2733,5480835,49.9
1981,Iowa,19,1277,2908684,43.9
1981,Kansas,20,1058,2388484,44.3
1981,Kentucky,21,2055,3670577,56.0
1981,Louisiana,22,2033,4290182,47.4
1981,Maine,23,587,1133551,51.8
1981,Maryland,24,2068,4266825,48.5
1981,Massachusetts,25,2681,5773757,46.4
1981,Michigan,26,4033,9211052,43.8
1981,Minnesota,27,1434,4116561,34.8
1981,Mississippi,28,1264,2541298,49.7
1981,Missouri,29,2691,4936035,54.5
1981,Montana,30,298,796224,37.4
1981,Nebraska,31,685,1580405,43.3
1981,Nevada,32,377,849258,44.4
1981,New Hampshire,33,452,937237,48.2
1981,New Jersey,34,3842,7410794,51.8
1981,New Mexico,35,336,1335253,25.2
1981,New York,36,8451,17580612,48.1
1981,North Carolina,37,2566,5958396,43.1
1981,North Dakota,38,191,660558,28.9
1981,Ohio,39,5507,10795737,51.0
1981,Oklahoma,40,1614,3101005,52.0
1981,Oregon,41,1260,2669849,47.2
1981,Pennsylvania,42,6216,11866773,52.4
1981,Rhode Island,44,523,953757,54.8
1981,South Carolina,45,1385,3182070,43.5
1981,South Dakota,46,281,690361,40.7
1981,Tennessee,47,2301,4628211,49.7
1981,Texas,48,5856,14779030,39.6
1981,Utah,49,232,1516752,15.3
1981,Vermont,50,223,516116,43.2
1981,Virginia,51,2495,5449172,45.8
1981,Washington,53,1916,4240915,45.2
1981,West Virginia,54,1033,1952950,52.9
1981,Wisconsin,55,1833,4729678,38.8
1981,Wyoming,56,119,492753,24.2
1982,Alabama,1,2029,3925924,51.7
1982,Alaska,2,90,451672,19.9
1982,Arizona,4,1264,2896090,43.6
1982,Arkansas,5,1333,2294665,58.1
1982,California,6,10990,24870183,44.2
1982,Colorado,8,863,3068025,28.1
1982,Connecticut,9,1506,3141181,47.9
1982,Delaware,10,326,599565,54.4
1982,District of Columbia,11,332,636098,52.2
1982,Florida,12,7121,10487366,67.9
1982,Georgia,13,2526,5652656,44.7
1982,Hawaii,15,272,995925,27.3
1982,Idaho,16,329,973832,33.8
1982,Illinois,17,5514,11432454,48.2
1982,Indiana,18,2700,5468160,49.4
1982,Iowa,19,1332,2887872,46.1
1982,Kansas,20,1107,2403605,46.1
1982,Kentucky,21,2130,3683426,57.8
1982,Louisiana,22,2154,4359915,49.4
1982,Maine,23,626,1137158,55.0
1982,Maryland,24,2206,4288914,51.4
1982,Massachusetts,25,2888,5777189,50.0
1982,Michigan,26,4324,9116004,47.4
1982,Minnesota,27,1491,4134565,36.1
1982,Mississippi,28,1274,2558332,49.8
1982,Missouri,29,2824,4932516,57.3
1982,Montana,30,310,804762,38.5
1982,Nebraska,31,623,1583033,39.4
1982,Nevada,32,454,882729,51.4
1982,New Hampshire,33,423,948559,44.6
1982,New Jersey,34,3954,7436116,53.2
1982,New Mexico,35,427,1366486,31.2
1982,New York,36,8582,17606044,48.7
1982,North Carolina,37,2691,6022244,44.7
1982,North Dakota,38,223,669903,33.3
1982,Ohio,39,5708,10761581,53.0
1982,Oklahoma,40,1715,3213698,53.4
1982,Oregon,41,1291,2664744,48.4
1982,Pennsylvania,42,6354,11853261,53.6
1982,Rhode Island,44,532,954795,55.7
1982,South Carolina,45,1396,3209765,43.5
1982,South Dakota,46,252,691342,36.5
1982,Tennessee,47,2539,4646503,54.6
1982,Texas,48,6142,15366008,40.0
1982,Utah,49,226,1559272,14.5
1982,Vermont,50,216,519544,41.6
1982,Virginia,51,2629,5498214,47.8
1982,Washington,53,1925,4280029,45.0
1982,West Virginia,54,1166,1948421,59.8
1982,Wisconsin,55,1915,4731560,40.5
1982,Wyoming,56,149,507270,29.4
1983,Alabama,1,2081,3933838,52.9
1983,Alaska,2,99,490111,20.2
1983,Arizona,4,1306,2974479,43.9
1983,Arkansas,5,1428,2305943,61.9
1983,California,6,11209,25398443,44.1
1983,Colorado,8,871,3137512,27.8
1983,Connecticut,9,1539,3164200,48.6
1983,Delaware,10,305,605660,50.4
1983,District of Columbia,11,322,634223,50.8
1983,Florida,12,7555,10764476,70.2
1983,Georgia,13,2599,5729765,45.4
1983,Hawaii,15,276,1014687,27.2
1983,Idaho,16,303,981166,30.9
1983,Illinois,17,5642,11411820,49.4
1983,Indiana,18,2779,5448436,51.0
1983,Iowa,19,1412,2869260,49.2
1983,Kansas,20,1155,2416834,47.8
1983,Kentucky,21,2159,3692888,58.5
1983,Louisiana,22,2231,4398962,50.7
1983,Maine,23,648,1145063,56.6
1983,Maryland,24,2256,4317920,52.2
1983,Massachusetts,25,3004,5804093,51.8
1983,Michigan,26,4450,9044768,49.2
1983,Minnesota,27,1579,4140847,38.1
1983,Mississippi,28,1337,2567091,52.1
1983,Missouri,29,2815,4945152,56.9
1983,Montana,30,303,813994,37.2
1983,Nebraska,31,623,1584550,39.3
1983,Nevada,32,458,902325,50.8
1983,New Hampshire,33,433,958516,45.2
1983,New Jersey,34,4208,7472553,56.3
1983,New Mexico,35,417,1396135,29.9
1983,New York,36,8853,17700795,50.0
1983,North Carolina,37,2793,6077569,46.0
1983,North Dakota,38,215,677113,31.8
1983,Ohio,39,6001,10735643,55.9
1983,Oklahoma,40,1815,3292987,55.1
1983,Oregon,41,1365,2652041,51.5
1983,Pennsylvania,42,6452,11840497,54.5
1983,Rhode Island,44,549,956902,57.4
1983,South Carolina,45,1426,3234838,44.1
1983,South Dakota,46,284,693218,41.0
1983,Tennessee,47,2528,4658925,54.3
1983,Texas,48,6461,15773066,41.0
1983,Utah,49,247,1593625,15.5
1983,Vermont,50,231,523511,44.1
1983,Virginia,51,2742,5568120,49.2
1983,Washington,53,1978,4301870,46.0
1983,West Virginia,54,1131,1943037,58.2
1983,Wisconsin,55,1998,4722266,42.3
1983,Wyoming,56,152,510050,29.8
1984,Alabama,1,2169,3952400,54.9
1984,Alaska,2,114,515014,22.1
1984,Arizona,4,1397,3072024,45.5
1984,Arkansas,5,1416,2320088,61.0
1984,California,6,11798,25881851,45.6
1984,Colorado,8,940,3172473,29.6
1984,Connecticut,9,1533,3182426,48.2
1984,Delaware,10,369,611723,60.3
1984,District of Columbia,11,339,635294,53.4
1984,Florida,12,7810,11055366,70.6
1984,Georgia,13,2773,5837719,47.5
1984,Hawaii,15,360,1029123,35.0
1984,Idaho,16,343,989800,34.7
1984,Illinois,17,5869,11415352,51.4
1984,Indiana,18,3022,5456941,55.4
1984,Iowa,19,1412,2857249,49.4
1984,Kansas,20,1149,2424856,47.4
1984,Kentucky,21,2281,3693321,61.8
1984,Louisiana,22,2165,4402961,49.2
1984,Maine,23,632,1155952,54.7
1984,Maryland,24,2253,4369622,51.6
1984,Massachusetts,25,3039,5846449,52.0
1984,Michigan,26,4413,9051129,48.8
1984,Minnesota,27,1635,4158462,39.3
1984,Mississippi,28,1327,2577540,51.5
1984,Missouri,29,2801,4975430,56.3
1984,Montana,30,359,820809,43.7
1984,Nebraska,31,747,1588722,47.0
1984,Nevada,32,496,925490,53.6
1984,New Hampshire,33,505,977486,51.7
1984,New Jersey,34,4154,7521394,55.2
1984,New Mexico,35,425,1417741,30.0
1984,New York,36,8809,17760104,49.6
1984,North Carolina,37,2942,6166516,47.7
1984,North Dakota,38,265,680312,39.0
1984,Ohio,39,5941,10736395,55.3
1984,Oklahoma,40,1887,3285285,57.4
1984,Oregon,41,1578,2665575,59.2
1984,Pennsylvania,42,6854,11817071,58.0
1984,Rhode Island,44,551,962417,57.3
1984,South Carolina,45,1469,3272398,44.9
1984,South Dakota,46,277,697364,39.7
1984,Tennessee,47,2613,4686096,55.8
